YGR215W	YPL013C	0.9213
YGR165W	YGR215W	0.9114
YGR030C	YNL282W	0.8916
YGR084C	YHR059W	0.8834
YMR158W	YNR037C	0.8751
YHR059W	YMR158W	0.8713
YER050C	YMR188C	0.8661
YER050C	YNL306W	0.8649
YBR122C	YLR312W-A	0.8646
YBL090W	YER050C	0.8589
YDR462W	YLR312W-A	0.8567
YGR220C	YMR024W	0.8564
YDR462W	YMR193W	0.8546
YCL025C	YEL017C-A	0.8431
YDR036C	YMR158W	0.8402
YDR383C	YLR381W	0.8391
YDR036C	YNR037C	0.8302
YAL033W	YDR478W	0.8277
YBL018C	YDR478W	0.8249
YDR449C	YIL019W	0.8248
YDR276C	YEL017C-A	0.8221
YDR265W	YGR077C	0.8204
YDR342C	YDR345C	0.82
YFL017W-A	YPR182W	0.8188
YNR037C	YPL013C	0.8184
YBR191W	YOL040C	0.8144
YBR173C	YFR050C	0.8124
YGL004C	YMR191W	0.8107
YGR165W	YNR037C	0.8089
YKL167C	YOR150W	0.8076
YNL137C	YNR037C	0.8053
YCL028W	YPL042C	0.8045
YKR006C	YOR150W	0.8024
YDL136W	YNL301C	0.7926
YDR036C	YGR165W	0.7891
YBR282W	YHR147C	0.7874
YDR036C	YNR036C	0.7865
YDR364C	YJR050W	0.777
YHL001W	YNL301C	0.7749
YCL025C	YJL002C	0.7727
YLR312W-A	YOR150W	0.7724
YNR024W	YOR076C	0.7712
YGL226C-A	YOR103C	0.7712
YER050C	YNR037C	0.7703
YDR036C	YOR158W	0.7691
YDL083C	YOR312C	0.7691
YDR418W	YGR034W	0.7679
YDR036C	YGR215W	0.767
YDL136W	YDR418W	0.7615
YML025C	YNL284C	0.7607
YBL027W	YDR418W	0.7607
YDL088C	YDL207W	0.7606
YHL001W	YNL096C	0.76
YMR193W	YOR150W	0.76
YMR026C	YNL329C	0.7577
YKR060W	YPL217C	0.7574
YKR060W	YLR222C	0.7573
YBR031W	YGL076C	0.757
YGR128C	YPR137W	0.7561
YDR036C	YHR059W	0.7523
YKL197C	YMR026C	0.7523
YKR085C	YNL284C	0.7518
YER053C-A	YJR088C	0.7498
YML046W	YOR159C	0.7494
YBL027W	YGL135W	0.7488
YBL079W	YJL039C	0.7474
YFL007W	YOR157C	0.7451
YGR138C	YIL121W	0.7446
YDR405W	YMR193W	0.7441
YDR418W	YNL301C	0.7426
YJL210W	YNL329C	0.7424
YGR186W	YHR143W-A	0.7404
YMR272C	YPR113W	0.7403
YKL167C	YNL284C	0.7391
YEL017C-A	YJL002C	0.7387
YJL210W	YKL197C	0.7377
YKR006C	YNL284C	0.7377
YIL121W	YPL265W	0.736
YBR272C	YMR191W	0.7352
YBR181C	YGL135W	0.7336
YFL017W-A	YML046W	0.7328
YKR060W	YPR137W	0.7326
YGR034W	YLR441C	0.7322
YML025C	YOR150W	0.7295
YCR020W-B	YJL127C	0.7287
YGL147C	YNL301C	0.7285
YHL016C	YLR326W	0.727
YHL048W	YNL101W	0.7268
YGL202W	YPR035W	0.7246
YGR074W	YMR288W	0.7241
YCR034W	YKL065C	0.7233
YDR405W	YDR462W	0.723
YCR034W	YML048W	0.7219
